number,year,monthreal,firmid,bankid,conm,ticker,opacity1,opacity2,opacity3,leverage1,leverage2,leverage3,leverage4,profitability,fgroup,latfirm1,longfirm1,latfirm2,longfirm2,latfirm3,longfirm3,bank,size,monitoring,bgroup,longbank,latbankapproximate
52895,2003,2,30,1,ARK RESTAURANTS CORP,ARKR,0.5820098,1.343387,46.781,51.676,25.406,0.648,46.781,7.591,1,40.732509,-73.98935,40.732509,-73.98935,40.732509,-73.98935,BANK LEUMI USA,4906529,0.2971992,1,-73.97231,40.75216
52562,2003,3,2,2,ACE CASH EXPRESS INC,AACE,0.1250232,0.299527,258.768,164.516,50.215,1.038,258.768,4.744,2,32.872386,-96.98524,32.872386,-96.98524,32.872386,-96.98524,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52472,2003,4,5,2,ABM INDUSTRIES INC,ABM,0.0453174,0.1440161,739.98,0,0,1.856,739.98,4.687,3,37.789228,-122.3957,37.798228,-122.40027,37.789228,-122.3957,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52641,2003,3,7,2,ALBERTSONS INC,ABS,0.6034039,1.031269,15159,99.547,34.778,1.194,15159,4.783,5,,,,,,,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52473,2003,4,9,2,ACE LIMITED,ACE,,,46625.75,28.981,5.083,,46625.75,0.786,5,39.952162,-75.17406,,,39.952162,-75.17406,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52554,2003,6,10,2,ACCENTURE LTD,ACN,0.1043941,,6367.21,9.468,1.081,1.423,6367.21,6.532,4,41.882582,-87.6376,,,41.882582,-87.6376,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52662,2003,1,13,2,AEGON NV,AEG,,,276651.8,76.416,4.353,,276651.8,,5,,,,,,,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52898,2003,4,15,2,ARMOR HOLDINGS INC,AH,0.1322813,0.1751591,372.547,8.013,5.991,2.368,372.547,5.28,2,30.284641,-81.39844,30.284641,-81.39844,30.284641,-81.39844,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52526,2003,1,16,2,AMN HEALTHCARE SERVICES INC,AHS,0.044069,,336.79,1.089,0.917,3.361,336.79,15.525,2,32.946776,-117.21918,32.946776,-117.21918,32.946776,-117.21918,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52836,2003,5,17,2,APARTMENT INVT &MGMT  -CL A,AIV,,,10234.79,201.935,60.256,,10234.79,-0.059,5,39.669237,-104.92766,39.643637,-104.90406,39.669237,-104.92766,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52687,2003,4,18,2,ALLIED CAPITAL CP,ALD,,,2829.58,,,,2829.58,6.307,4,38.897567,-77.04195,38.897567,-77.04195,38.897567,-77.04195,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52636,2003,6,19,2,ALAMO GROUP INC,ALG,0.1476764,0.370264,209.221,25.337,16.605,4.129,209.221,2.429,2,29.56478,-97.96283,29.56478,-97.96283,29.56478,-97.96283,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52520,2003,5,21,2,AMB PROPERTY CORP.,AMB,,,4976.26,132.497,45.57,,4976.26,1.368,4,37.798228,-122.40027,37.798228,-122.40027,37.798228,-122.40027,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52805,2003,1,23,2,AMERON INTERNATIONAL CORP,AMN,0.3038747,,493.46,46.867,21.931,2.456,493.46,5.821,2,34.146607,-118.1391,34.146607,-118.1391,34.146607,-118.1391,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
