1,number,Loan id,,
2,year,Year,,
3,monthreal,Month,,
4,firmid,Firm id,,
5,bankid,Bank id,,
6,conm,Firm name,,
7,ticker,Ticker,,
8,opacity1,PP&E - Total Gross Qtly / Assets - Total Qtly,1,Firm characteristics
9,opacity2,PP&E - Total Net Qtly / Assets - Total Qtly; use opacity1 instead,2,Firm characteristics
10,opacity3,Assets - Total Qtly (in million dollars),3,Firm characteristics
11,leverage1,Total Debt/Total Equity Qtly,4,Firm characteristics
12,leverage2,Total Debt/Total Assets Qtly,5,Firm characteristics
13,leverage3,Current Ratio Qtly,6,Firm characteristics
14,leverage4,Assets - Total Qtly (in million dollars),7,Firm characteristics
15,profitability,Return on Assets Qtly,8,Firm characteristics
16,fgroup,Firm's size group (see paper for explanation),9,Firm characteristics
17,latfirm1,"Firm's latitude, method 1; use latfirm3 instead",10,Firm characteristics
18,longfirm1,"Firm's longitude, method 1; use longfirm3 instead",11,Firm characteristics
19,latfirm2,"Firm's latitude, method 2; use latfirm3 instead",12,Firm characteristics
20,longfirm2,"Firm's longitude, method 2; use longfirm3 instead",13,Firm characteristics
21,latfirm3,"Firm's latitude, method 3",14,Firm characteristics
22,longfirm3,"Firm's longitude, method 3",15,Firm characteristics
23,bank,Bank name,,
24,size,Total assets (in thousand dollars),1,Bank Characteristics
25,monitoring,Salaries and Benefits/Total Operating Expenses,2,Bank Characteristics
26,bgroup,Bank's size group (see paper for explanation),3,Bank Characteristics
27,longbank,Bank's longitude,4,Bank Characteristics
28,latbankapproximate,Bank's latitude,5,Bank Characteristics
